name,price,description,image_url
Ezogelin Çorbası,130 TL,"Kaşarlı tırnak pide, haydari, ezme, salata, çiğ köfte, ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Mercimek Çorbası,130 TL,"Kaşarlı tırnak pide, haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
İşkembe Çorbası,165 TL,"Kaşarlı tırnak pide, haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Kelle Paça Çorbası,165 TL,"Kaşarlı tırnak pide, haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Tuzlama Çorbası,165 TL,"Kaşarlı tırnak pide, haydari, ezme, salata, çiğ köfte, ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Beyin Çorbası,165 TL,"Tırnaklı kaşarlı ekmek, haydari, ezme, salata, çiğ köfte",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Karışık Çorba,175 TL,"İşkembe, kelle, paça, beyin. Tırnaklı kaşarlı ekmek, haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Cimbom Çorbası,130 TL,"Ezogelin, mercimek karışımı. Kaşarlı tırnak pide, haydari, ezme, salata, çiğ köfte, ile",N/A
Kızartma İçli Köfte,110 TL,Adet olarak servis edilmektedir.,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Patates Kızartması,110 TL,Parmak dilim patates kızartması,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Fındık Lahmacun,110 TL,Baharatlı kıyma harcının ince hamur üzerine yayılarak hazırlandığı küçük bir lahmacun çeşididir.,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Çiğ Köfte,110 TL,"Bulgurun soğan, salça ve çeşitli baharatlar ile yoğurularak hazırlandığı bir yemektir.",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Adana Kebap,295 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Urfa Kebap,295 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Patlıcanlı Kebap,350 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Domatesli Kebap,330 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Soğan Kebabı,330 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Beyti Kebap,320 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Beyti Sarma,320 TL,"Haydari, ezme, mevsim salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Alinazik Kebap (Kuzu Şişten),370 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Alinazik Kebap (Kıymadan),340 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Altı Ezmeli Kebap,320 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Karışık Kebap,470 TL,"Tavuk şiş, Adana kebap, kuzu şiş. Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Diyet Tavuk Kebabı,295 TL,"Haydari, ezme, salata, çiğ köfte ile",N/A
Tavuk Şiş,295 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Ciğer Şiş,380 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Kanat Izgara,295 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Izgara Köfte,295 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Et Şiş,350 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Tavuk Kanat,295 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Kiremitte Kaşarlı Et Şiş,370 TL,"Kaşar peyniri, et şiş",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Kiremitte Et Şiş,350 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Kiremitte Köfte,330 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Kiremitte Kaşarlı Köfte,350 TL,"Kaşar peyniri, köfte. Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Kiremitte Konya Tava,350 TL,"Haydari, ezme, salata, çiğ köfte ile",N/A
Kiremitte Kaşarlı Konya Tava,370 TL,"Haydari, ezme, salata, çiğ köfte ile",N/A
Kiremitte Piliç,330 TL,Haydari + Ezme + Salata + Çiğ Köfte,N/A
Kiremitte Kaşarlı Piliç,350 TL,Haydari + Ezme + Salata + Çiğ Köfte,N/A
İskender (Et Dönerden),295 TL,"Sos, yoğurt. Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Soslu Döner,295 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Sade Döner,295 TL,"Et döner, haydari, ezme, salata, çiğ köfte",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Pilav Üstü Et Döner,310 TL,"Pilav, et döner. Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Yoğurtlu Döner,295 TL,"Yoğurt, et döner",N/A
Adana Dürüm,155 TL,İsteğe göre soğan,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Double Adana Dürüm,295 TL,İsteğe göre soğan,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Etli Ekmek,280 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Mevlana Pide,285 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Bıçak Arası Pide,285 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Lahmacun,140 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Tereyağlı Peynirli Börek,280 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Yumurtalı Etli Ekmek,290 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Kaşarlı Lahmacun,150 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Bıçak Arası Kaşarlı Pide,295 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Kıymalı Pide,175 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Kıymalı Yumurtalı Pide,185 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Kaşarlı Pide,185 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Kıymalı Kaşarlı Pide,195 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Kuşbaşılı Pide,230 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Kuşbaşılı Kaşarlı Pide,250 TL,"Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Vali Kebabı,800 TL,"Tavuk şiş, Adana kebap, kuzu şiş, domatesli kebap, fındık lahmacun. Haydari, ezme, salata, çiğ köfte ile",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Konya Special (2-3 Kişilik),1.300 TL,"Tavuk şiş, Adana kebap, kuzu şiş, domatesli kebap, kanat ızgara, fırın kebap, içli köfte, etli ekmek. Haydari, ezme, salata, çiğ köfte ile",N/A
Konya Special (3-4 Kişilik),1.950 TL,"Tavuk şiş, Adana kebap, kuzu şiş, domatesli kebap, kanat ızgara, fırın kebap, içli köfte, etli ekmek. Haydari, ezme, salata, çiğ köfte ile",N/A
Konya Special (4-5 Kişilik),2.600 TL,"Tavuk şiş, Adana kebap, kuzu şiş, domatesli kebap, kanat ızgara, fırın kebap, içli köfte, etli ekmek, haydari, ezme, salata, çiğ köfte",N/A
Antep Ezme,110 TL,Adet olarak servis edilmektedir.,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Mevsim Salata,130 TL,Mevsim yeşillikleri,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Patlıcan Ezme,110 TL,"Patlıcan, yoğurt",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Çoban Salata,130 TL,"Domates, salatalık, isteğe göre soğan",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Yeşil Salata,130 TL,Mevsim yeşillikleri,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Gavurdağı Salatası,130 TL,Mevsim yeşillikleri,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Akdeniz Salatası,130 TL,Mevsim yeşillikleri,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Tavuklu Salata,240 TL,"Tavuk, mevsim yeşillikleri",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Kemalpaşa Tatlısı,120 TL,1 kişilik,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Fırın Sütlaç,120 TL,1 kişilik,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Künefe,120 TL,"Tel kadayıf, peynir, şerbet",https://micro-assets.foodora.com/img/logo-simple-ys.svg
Kazandibi,120 TL,1 kişilik,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Supangle,120 TL,Günlük hazırlanmaktadır.,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Coca-Cola Zero Sugar (33 cl.),45 TL,Kutu içecek,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Coca-Cola (33 cl.),45 TL,Kutu içecek,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Coca-Cola Light (33 cl.),45 TL,Kutu içecek,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Coca-Cola Şekersiz (33 cl.),45 TL,Kutu içecek,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Fanta (33 cl.),45 TL,Kutu içecek,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Sprite (33 cl.),45 TL,Kutu içecek,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Cappy (33 cl.),45 TL,Kutu içecek,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Fuse Tea Limon (33 cl.),45 TL,Kutu içecek,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Şalgam Suyu (33 cl.),40 TL,Pet şişe,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Sütaş Ayran (30 cl.),40 TL,Büyük,https://micro-assets.foodora.com/img/logo-simple-ys.svg
Soda,35 TL,Cam şişe,https://images.deliveryhero.io/image/fd-tr/Products/5842400.jpg?width=187.5&height=187.5
Su (50 cl.),12 TL,Pet şişe,https://images.deliveryhero.io/image/fd-tr/Products/5842402.jpg?width=187.5&height=187.5
Coca-Cola (1 L.),90 TL,Pet şişe,https://images.deliveryhero.io/image/fd-tr/Products/5842403.jpg?width=187.5&height=187.5
Sütaş Ayran (1 L.),90 TL,Pet şişe,https://images.deliveryhero.io/image/fd-tr/Products/5842404.jpg?width=187.5&height=187.5
"Coca-Cola (2,5 L.)",110 TL,Pet şişe,https://images.deliveryhero.io/image/fd-tr/Products/5842405.jpg?width=187.5&height=187.5
Fuse Tea Şeftali (33 cl.),45 TL,Kutu içecek,https://images.deliveryhero.io/image/fd-tr/Products/45223676.jpg?width=187.5&height=187.5
Poşet,"0,25 TL","Çevre Kanunu kapsamında yapılan değişiklikle her bir plastik poşetin tüketicilere 0,25 TL fiyat karşılığı satılması Çevre, Şehircilik ve İklim Değişikliği Bakanlığı tarafından zorunlu hale getirilmiştir. Plastik poşet talep etmeniz halinde ürünü sepete eklemeniz gerekmektedir. Sepete eklenen her bir plastik poşet için ilgili bedel tarafınızdan tahsil edilecektir.",https://images.deliveryhero.io/image/fd-tr/Products/5842406.jpg?width=187.5&height=187.5
